Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Quarter,MarketCap,PB_Ratio,PE_Ratio,PEG_Ratio,PriceToSales,EPS,ROE,ROA,Beta,DividendYield,StockSplits,DebtToEquity,BookValue,EBITDA,Revenue,Profit,Networth,FaceValue
2024-01-02 00:00:00-05:00,151.5399932861328,152.3800048828125,148.38999938964844,149.92999267578125,47339400,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-03 00:00:00-05:00,149.1999969482422,151.0500030517578,148.3300018310547,148.47000122070312,49425500,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-04 00:00:00-05:00,145.58999633789062,147.3800048828125,144.0500030517578,144.57000732421875,56039800,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-05 00:00:00-05:00,144.69000244140625,146.58999633789062,144.52999877929688,145.24000549316406,45153100,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-08 00:00:00-05:00,146.74000549316406,149.39999389648438,146.14999389648438,149.10000610351562,46757100,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-09 00:00:00-05:00,148.3300018310547,151.7100067138672,148.2100067138672,151.3699951171875,43812600,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-10 00:00:00-05:00,152.05999755859375,154.4199981689453,151.8800048828125,153.72999572753906,44421800,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-11 00:00:00-05:00,155.0399932861328,157.1699981689453,153.1199951171875,155.17999267578125,49072700,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-12 00:00:00-05:00,155.38999938964844,156.1999969482422,154.00999450683594,154.6199951171875,40484200,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-16 00:00:00-05:00,153.52999877929688,154.99000549316406,152.14999389648438,153.16000366210938,41384600,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
2024-01-17 00:00:00-05:00,151.49000549316406,152.14999389648438,149.91000366210938,151.7100067138672,34953400,0.0,0.0,AMZN,Q1,2379107532800,6.4344983,36.186993,N/A,3.4413486,7.08,0.24327,0.07495,1.368,N/A,20:1,43.405,34.587,139696996352,691330023424,76482002944,N/A,N/A
